load word2vec finished
C:\Users\billy\anaconda3\envs\python38\lib\site-packages\torch\nn\modules\rnn.py:58: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.3 and num_layers=1
0 770 0.07758224010467529 0.6875 2021-03-14 14:03:50.587045
0 780 0.07493846118450165 0.625 2021-03-14 14:03:53.712046
0 790 0.08547818660736084 0.59375 2021-03-14 14:03:56.834046
0 800 0.0888812392950058 0.5625 2021-03-14 14:03:59.946046
0 810 0.07229755818843842 0.75 2021-03-14 14:04:03.039046
0 820 0.07967598736286163 0.71875 2021-03-14 14:04:06.132045
0 830 0.08002714812755585 0.625 2021-03-14 14:04:09.206047
0 840 0.06663413345813751 0.78125 2021-03-14 14:04:12.306046
0 850 0.07691681385040283 0.6875 2021-03-14 14:04:15.380045
0 860 0.08272666484117508 0.5625 2021-03-14 14:04:18.447046
0 870 0.08790189772844315 0.59375 2021-03-14 14:04:21.498045
0 880 0.07849724590778351 0.6875 2021-03-14 14:04:24.540045
0 890 0.09183375537395477 0.4375 2021-03-14 14:04:27.610047
0 900 0.10177403688430786 0.53125 2021-03-14 14:04:30.606156
0 910 0.07615569978952408 0.6875 2021-03-14 14:04:33.679157
0 920 0.0888676717877388 0.59375 2021-03-14 14:04:36.793156
0 930 0.08087052404880524 0.59375 2021-03-14 14:04:39.845157
0 940 0.07802556455135345 0.59375 2021-03-14 14:04:42.968466
0 950 0.0810057520866394 0.6875 2021-03-14 14:04:46.051465
0 960 0.07534563541412354 0.6875 2021-03-14 14:04:49.156466
0 970 0.08390133082866669 0.59375 2021-03-14 14:04:52.212466
0 980 0.07328233122825623 0.75 2021-03-14 14:04:55.293466
0 990 0.07539710402488708 0.71875 2021-03-14 14:04:58.447466
0 1000 0.0911753922700882 0.71875 2021-03-14 14:05:01.518466
test 0.5220352564102564 2021-03-14 14:06:10.821466
0 1010 0.07103133946657181 0.75 2021-03-14 14:06:13.886465
0 1020 0.0782908946275711 0.625 2021-03-14 14:06:17.039466
0 1030 0.08572976291179657 0.59375 2021-03-14 14:06:20.169466
0 1040 0.07523234933614731 0.6875 2021-03-14 14:06:23.286466
0 1050 0.07079431414604187 0.8125 2021-03-14 14:06:26.435468
0 1060 0.06490905582904816 0.75 2021-03-14 14:06:29.562466
0 1070 0.07350838929414749 0.78125 2021-03-14 14:06:32.745466
0 1080 0.0824139416217804 0.625 2021-03-14 14:06:35.923466
0 1090 0.07146873325109482 0.71875 2021-03-14 14:06:39.069467
